Market share ranking within state	Issuer premium changes from '14 to '15 (%)
2	75.6223843118
2	26.7923746374
1	17.7440025589
2	-14.9162584923
3	34.5166267246
1	10.9140138671
8	68.4226611147
3	16.4653429644
1	31.4453116779
4	-27.052088673
13	19.1402253716
10	29.4618611131
9	45.5487596985
2	18.8408047442
1	2.49962674032
1	76.6956969262
5	72.1486034799
3	15.9604782259
6	27.5178150112
4	37.5070312443
10	-14.6417464473
12	6.13403590791
2	46.9697684455
11	-11.7724581905
6	-26.2085131439
9	-7.85800562683
4	16.9399715842
1	32.1927727074
1	18.8879799689
2	46.1428181504
3	20.6472152701
8	37.3421378456
1	-3.68712423993
6	31.036834925
10	30.4614674665
7	36.1372939277
5	-13.650955015
2	0.100225507392
1	79.4196693997
3	70.6942977861
4	16.3072154966
2	-1.11734617868
5	4.25658695821
4	13.6860487128
3	39.6737038726
1	57.2492299451
1	23.1559608687
1	8.9558170465
8	11.4733957093
14	17.0570788322
7	22.4017754649
10	51.0206155126
4	-23.9389838666
6	-18.4271072997
3	26.6920214289
16	8.5045661517
5	66.6063577601
12	41.8059211781
2	3.5089459212
4	11.7942297199
2	63.0100879819
3	49.9060037598
1	19.6740145042
2	-25.7557352603
4	-5.48978727823
1	11.5155402336
2	-5.31951676399
1	32.1552341415
1	18.0993643916
2	-7.96826446074
3	-5.31962000456
3	44.0396993993
1	24.1519294643
4	-10.049726587
3	-8.40931008102
1	-2.58235111045
2	-8.40931008102
8	10.4743369287
12	6.54755159813
14	-15.6958068845
13	-32.4986941512
4	38.2896350813
15	15.436299412
2	13.9089369221
1	5.98618913338
4	24.30115068
1	7.89225065299
9	11.9136637234
3	-24.6962910747
1	16.8533185087
2	-24.6962910747
14	-5.81385847361
6	-7.42074312085
5	91.8030984398
12	37.5532017025
8	37.7419256829
1	14.812370296
4	7.0685907341
3	15.6223769891
2	3.88643597905
2	-9.32858990309
3	13.152992855
1	12.0858948617
2	35.1507747701
4	31.3916381421
14	-10.2862772369
12	-25.0604157825
2	28.262804711
1	10.7121809991
10	15.6228340999
8	-19.8019029685
13	-36.8081645579
3	20.0720195717
6	32.0642113998
9	-13.4099602637
7	28.633181929
4	-14.7722902527
2	20.9516733134
6	1.48760309857
3	73.8282685221
5	35.6593381583
1	51.2852250489
2	20.5189787501
4	33.0570619871
5	36.3020033606
8	26.3476896748
6	-17.0486746917
3	21.0692868402
7	32.0094397812
1	27.7020118652
4	52.0859884418
12	26.8088636214
5	-15.4901669334
9	-2.095347618
14	31.2302979177
6	3.22929658737
3	56.877498533
10	45.8337616515
1	15.8970841618
2	-6.12504165065
1	26.5054612207
